Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
133,NBA,1,22,BRK,Jarrett Allen,19.067,C-F,us,Texas,2018,2021,2017,277,25.3,10.7,8.2,1.3,0.5,1.4,0.616,0.635,0.2,0.698,26.2,0.18
134,NBA,1,23,TOR,OG Anunoby,19.345,F,gb,Indiana,2018,2021,2017,253,25,9.2,3.9,1.2,1,0.4,0.48,0.579,0.375,0.692,13.9,0.105
135,NBA,1,26,POR,Caleb Swanigan,20.07,F,us,Purdue,2018,2020,2017,75,8.7,2.3,2.9,0.7,0.2,0.1,0.438,0.476,0.118,0.614,-0.2,-0.015
136,NBA,1,27,BRK,Kyle Kuzma,21.339,F,us,Utah,2018,2021,2017,269,29.7,15.3,5.7,1.9,0.6,0.5,0.447,0.527,0.338,0.727,11.8,0.071
137,NBA,1,28,LAL,Tony Bradley,19.17,F-C,us,UNC,2018,2021,2017,108,12.4,5.4,4.7,0.5,0.3,0.6,0.647,0.651,0.429,0.663,5.9,0.21
138,NBA,1,29,SAS,Derrick White,22.361,G,us,Colorado,2018,2021,2017,188,24.5,10.8,3.2,3.4,0.8,0.8,0.452,0.513,0.357,0.825,10.3,0.107
139,NBA,1,30,UTA,Josh Hart,22.114,G,us,Villanova,2018,2021,2017,242,26,8.7,5.4,1.6,0.9,0.4,0.432,0.555,0.348,0.728,11.3,0.087
140,NBA,2,31,CHO,Frank Jackson,19.054,G,us,Duke,2019,2021,2017,155,16.7,7.7,1.9,1,0.3,0,0.432,0.497,0.348,0.758,1.5,0.028
141,NBA,2,33,ORL,Wesley Iwundu,22.19,F,us,Kansas State,2018,2021,2017,218,16.9,4.4,2.4,0.9,0.5,0.2,0.411,0.464,0.289,0.797,4.2,0.055
142,NBA,2,34,SAC,Frank Mason,23.086,G,us,Kansas,2018,2021,2017,103,15.7,6.7,2,2.6,0.5,0.1,0.396,0.433,0.301,0.755,1.2,0.035
143,NBA,2,35,ORL,Ivan Rabb,20.143,F,us,California,2018,2019,2017,85,14.6,5.7,4.3,1,0.3,0.3,0.555,0.57,0.2,0.743,3.2,0.125
144,NBA,2,36,PHI,Jonah Bolden,21.177,F,au,,2019,2020,2017,51,13.5,4.3,3.4,0.8,0.4,0.8,0.486,0.685,0.34,0.484,1.4,0.098
